,Option Type,Ticker,Exp Date,Id,contractSymbol,lastTradeDate,Last Sell Time,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,Call,MRO,2023-01-20,0,MRO230120C00001000,2021-01-28,17:28:13,1.0,6.55,6.05,6.60,0.00,0.000000,365,455,0.929688,True,REGULAR,USD
1,Call,MRO,2023-01-20,1,MRO230120C00002000,2021-01-29,18:48:15,2.0,5.45,5.20,5.55,-0.20,-3.539828,3,31774,0.675784,True,REGULAR,USD
2,Call,MRO,2023-01-20,2,MRO230120C00003000,2021-01-29,17:19:04,3.0,4.80,3.75,5.50,-0.35,-6.796115,1,300,0.669925,True,REGULAR,USD
3,Call,MRO,2023-01-20,3,MRO230120C00004000,2021-01-29,19:50:14,4.0,3.95,3.15,4.80,-0.32,-7.494143,16,15198,0.655277,True,REGULAR,USD
4,Call,MRO,2023-01-20,4,MRO230120C00005000,2021-01-29,16:58:08,5.0,3.59,2.87,4.00,-0.21,-5.526317,2,1270,0.649418,True,REGULAR,USD
5,Call,MRO,2023-01-20,5,MRO230120C00007000,2021-01-29,16:50:48,7.0,2.68,2.60,2.94,-0.19,-6.620203,59,2287,0.689456,True,REGULAR,USD
6,Call,MRO,2023-01-20,6,MRO230120C00010000,2021-01-29,20:43:56,10.0,1.87,1.75,2.06,-0.13,-6.500000,289,1524,0.668949,False,REGULAR,USD
7,Call,MRO,2023-01-20,7,MRO230120C00012000,2021-01-28,20:34:40,12.0,1.59,1.22,1.88,0.00,0.000000,4,118,0.670413,False,REGULAR,USD
8,Call,MRO,2023-01-20,8,MRO230120C00015000,2021-01-29,16:19:54,15.0,1.05,1.00,1.36,-0.17,-13.934432,15,213,0.675296,False,REGULAR,"USD,"
