,Identifier,contractSymbol,lastTradeDate,Last Sell Time,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
36,36,MSFT210129C00275000,2021-01-28,20:02:12,275.0,0.02,0.01,0.04,0.000000,0.000000,344,77,1.054692,False,REGULAR,USD
37,37,MSFT210129C00280000,2021-01-28,20:45:52,280.0,0.01,0.01,0.03,-0.010000,-50.000000,271,176,1.148442,False,REGULAR,USD
38,38,MSFT210129C00290000,2021-01-27,18:31:07,290.0,0.01,0.00,0.10,0.000000,0.000000,2,2,1.515627,False,REGULAR,USD
39,39,MSFT210129C00295000,2021-01-28,19:07:45,295.0,0.01,0.00,3.05,-0.330000,-97.058830,7,61,2.906253,False,REGULAR,USD
40,40,MSFT210129C00300000,2021-01-28,20:40:28,300.0,0.01,0.01,0.02,0.000000,0.000000,191,184,1.531252,False,REGULAR,USD
41,41,MSFT210129C00310000,2021-01-27,19:40:38,310.0,0.01,0.00,0.01,0.000000,0.000000,58,58,1.562502,False,REGULAR,USD
42,42,MSFT210129C00325000,2021-01-27,19:48:59,325.0,0.01,0.00,0.01,0.000000,0.000000,2,31,1.812501,False,REGULAR,"USD,"
43,puts=,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,0
44,MSFT210129P00177500,2021-01-28,20:22:34,177.5,0.01,0.00,0.01,0.000000,0.000000,61,2191.0,1.812501,False,REGULAR,USD,1
45,MSFT210129P00180000,2021-01-28,19:28:25,180.0,0.01,0.00,0.01,0.000000,0.000000,2,1281.0,1.750001,False,REGULAR,USD,2
46,MSFT210129P00182500,2021-01-28,17:25:38,182.5,0.01,0.00,0.01,0.000000,0.000000,46,362.0,1.687502,False,REGULAR,USD,3
47,MSFT210129P00185000,2021-01-28,15:45:55,185.0,0.01,0.00,0.01,0.000000,0.000000,102,709.0,1.562502,False,REGULAR,USD,4
48,MSFT210129P00187500,2021-01-28,15:12:50,187.5,0.01,0.00,0.01,0.000000,0.000000,1,539.0,1.500002,False,REGULAR,USD,5
49,MSFT210129P00190000,2021-01-28,20:44:57,190.0,0.01,0.00,0.01,0.000000,0.000000,97,1393.0,1.437503,False,REGULAR,USD,6
50,MSFT210129P00192500,2021-01-28,19:43:22,192.5,0.01,0.00,0.01,-0.030000,-75.000000,480,904.0,1.375003,False,REGULAR,USD,7
51,MSFT210129P00195000,2021-01-28,19:41:28,195.0,0.01,0.00,0.01,-0.020000,-66.666670,293,2816.0,1.281254,False,REGULAR,USD,8
52,MSFT210129P00197500,2021-01-28,20:32:05,197.5,0.01,0.00,0.01,-0.060000,-85.714290,346,1262.0,1.187504,False,REGULAR,USD,9
53,MSFT210129P00200000,2021-01-28,20:06:42,200.0,0.02,0.01,0.02,-0.010000,-33.333336,483,4222.0,1.250004,False,REGULAR,USD,10
54,MSFT210129P00202500,2021-01-28,20:45:50,202.5,0.02,0.02,0.03,-0.060000,-75.000000,399,3012.0,1.242191,False,REGULAR,USD,11
55,MSFT210129P00205000,2021-01-28,20:43:02,205.0,0.02,0.01,0.03,-0.080000,-79.999990,248,3533.0,1.125004,False,REGULAR,USD,12
56,MSFT210129P00207500,2021-01-28,20:17:24,207.5,0.08,0.01,0.15,-0.030000,-27.272728,673,5936.0,1.250004,False,REGULAR,USD,13
57,MSFT210129P00210000,2021-01-28,20:49:07,210.0,0.06,0.02,0.05,-0.090000,-60.000004,535,6377.0,1.039067,False,REGULAR,USD,14
58,MSFT210129P00212500,2021-01-28,20:57:29,212.5,0.04,0.03,0.09,-0.120000,-75.000000,1058,5118.0,1.023442,False,REGULAR,USD,15
59,MSFT210129P00215000,2021-01-28,20:57:29,215.0,0.06,0.05,0.10,-0.200000,-76.923070,1834,7290.0,0.960938,False,REGULAR,USD,16
60,MSFT210129P00217500,2021-01-28,20:57:38,217.5,0.07,0.05,0.11,-0.280000,-80.000000,1192,5363.0,0.878907,False,REGULAR,USD,17
